"","portfolio","date","investment.growth"
"1","The highest sharpe ratio",2020-07-01,250000
"2","The highest sharpe ratio",2020-07-02,254634.54614534
"3","The highest sharpe ratio",2020-07-06,267991.688575719
"4","The highest sharpe ratio",2020-07-07,268360.32334471
"5","The highest sharpe ratio",2020-07-08,271449.451387414
"6","The highest sharpe ratio",2020-07-09,273607.955052385
"7","The highest sharpe ratio",2020-07-10,281796.379720256
"8","The highest sharpe ratio",2020-07-13,278350.077925885
"9","The highest sharpe ratio",2020-07-14,282561.816236311
"10","The highest sharpe ratio",2020-07-15,285398.988789156
"11","The highest sharpe ratio",2020-07-16,280775.265384225
"12","The highest sharpe ratio",2020-07-17,280578.922756811
"13","The highest sharpe ratio",2020-07-20,292087.76835436
"14","The highest sharpe ratio",2020-07-21,285344.56062313
"15","The highest sharpe ratio",2020-07-22,287172.882976383
"16","The highest sharpe ratio",2020-07-23,274087.317279572
"17","The highest sharpe ratio",2020-07-24,268507.328522672
"18","The highest sharpe ratio",2020-07-27,279348.547539752
"19","The highest sharpe ratio",2020-07-28,272825.196749535
"20","The highest sharpe ratio",2020-07-29,277565.738160208
"21","The highest sharpe ratio",2020-07-30,279340.654517216
"22","The highest sharpe ratio",2020-07-31,296278.91766625
"23","The highest sharpe ratio",2020-08-03,304635.420458587
"24","The highest sharpe ratio",2020-08-04,306127.378919168
"25","The highest sharpe ratio",2020-08-05,306745.617976251
"26","The highest sharpe ratio",2020-08-06,314699.504223655
"27","The highest sharpe ratio",2020-08-07,307618.438463933
"28","The highest sharpe ratio",2020-08-10,309001.853176023
"29","The highest sharpe ratio",2020-08-11,299793.212711097
"30","The highest sharpe ratio",2020-08-12,316453.773750359
"31","The highest sharpe ratio",2020-08-13,323734.614015289
"32","The highest sharpe ratio",2020-08-14,325176.472696296
"33","The highest sharpe ratio",2020-08-17,334270.790182446
"34","The highest sharpe ratio",2020-08-18,338928.510811429
"35","The highest sharpe ratio",2020-08-19,338495.640358429
"36","The highest sharpe ratio",2020-08-20,349983.491088396
"37","The highest sharpe ratio",2020-08-21,364720.893975629
"38","The highest sharpe ratio",2020-08-24,365844.264462567
"39","The highest sharpe ratio",2020-08-25,364209.510165427
"40","The highest sharpe ratio",2020-08-26,374275.272148539
"41","The highest sharpe ratio",2020-08-27,375693.1749043
"42","The highest sharpe ratio",2020-08-28,374041.605721932
"43","The highest sharpe ratio",2020-08-31,396890.267934757
"44","The highest sharpe ratio",2020-09-01,401256.506649443
"45","The highest sharpe ratio",2020-09-02,388697.180193564
"46","The highest sharpe ratio",2020-09-03,356987.195994651
"47","The highest sharpe ratio",2020-09-04,359996.811313132
"48","The highest sharpe ratio",2020-09-08,320741.770250023
"49","The highest sharpe ratio",2020-09-09,339138.294911215
"50","The highest sharpe ratio",2020-09-10,332697.429560275
"51","The highest sharpe ratio",2020-09-11,330358.174113174
"52","The highest sharpe ratio",2020-09-14,349289.800844799
"53","The highest sharpe ratio",2020-09-15,357544.782401501
"54","The highest sharpe ratio",2020-09-16,348757.470432375
"55","The highest sharpe ratio",2020-09-17,340455.943764275
"56","The highest sharpe ratio",2020-09-18,338218.607892954
"57","The highest sharpe ratio",2020-09-21,346469.400319127
"58","The highest sharpe ratio",2020-09-22,343559.050725956
"59","The highest sharpe ratio",2020-09-23,322746.65599102
"60","The highest sharpe ratio",2020-09-24,326841.511062268
"61","The highest sharpe ratio",2020-09-25,340161.834976511
"62","The highest sharpe ratio",2020-09-28,349143.707385529
"63","The highest sharpe ratio",2020-09-29,346796.039331065
"64","The highest sharpe ratio",2020-09-30,352910.738913648
"65","The highest sharpe ratio",2020-10-01,360062.540281703
"66","The highest sharpe ratio",2020-10-02,343917.717235159
"67","The highest sharpe ratio",2020-10-05,353851.472385536
"68","The highest sharpe ratio",2020-10-06,343831.863762197
"69","The highest sharpe ratio",2020-10-07,350641.315899007
"70","The highest sharpe ratio",2020-10-08,350597.454298067
"71","The highest sharpe ratio",2020-10-09,356714.09849838
"72","The highest sharpe ratio",2020-10-12,373660.265276713
"73","The highest sharpe ratio",2020-10-13,368174.832515023
"74","The highest sharpe ratio",2020-10-14,372150.956533168
"75","The highest sharpe ratio",2020-10-15,367846.25520205
"76","The highest sharpe ratio",2020-10-16,361809.807382003
"77","The highest sharpe ratio",2020-10-19,353344.526432259
"78","The highest sharpe ratio",2020-10-20,354137.489183213
"79","The highest sharpe ratio",2020-10-21,353002.292949981
"80","The highest sharpe ratio",2020-10-22,351528.691951529
"81","The highest sharpe ratio",2020-10-23,348774.572378488
"82","The highest sharpe ratio",2020-10-26,348442.445926461
"83","The highest sharpe ratio",2020-10-27,352708.243951493
"84","The highest sharpe ratio",2020-10-28,336843.647471621
"85","The highest sharpe ratio",2020-10-29,346424.272626107
"86","The highest sharpe ratio",2020-10-30,327438.559483197
"87","The highest sharpe ratio",2020-11-02,330517.268750141
"88","The highest sharpe ratio",2020-11-03,340015.042564522
"89","The highest sharpe ratio",2020-11-04,348757.530412879
"90","The highest sharpe ratio",2020-11-05,361456.656055924
"91","The highest sharpe ratio",2020-11-06,359289.567863289
"92","The highest sharpe ratio",2020-11-09,351665.07026615
"93","The highest sharpe ratio",2020-11-10,348174.200074642
"94","The highest sharpe ratio",2020-11-11,357299.087284916
"95","The highest sharpe ratio",2020-11-12,355286.393614282
"96","The highest sharpe ratio",2020-11-13,354578.967693084
"97","The highest sharpe ratio",2020-11-16,356631.539799131
"98","The highest sharpe ratio",2020-11-17,363336.00269941
"99","The highest sharpe ratio",2020-11-18,372040.746408141
"100","The highest sharpe ratio",2020-11-19,376787.412514142
"101","The highest sharpe ratio",2020-11-20,371742.697939249
"102","The highest sharpe ratio",2020-11-23,373126.71894225
"103","The highest sharpe ratio",2020-11-24,384096.028186391
"104","The highest sharpe ratio",2020-11-25,390556.129098518
"105","The highest sharpe ratio",2020-11-27,394799.933750999
"106","The highest sharpe ratio",2020-11-30,395121.260002612
"107","The highest sharpe ratio",2020-12-01,406954.263185767
"108","The minimum variance",2020-07-01,250000
"109","The minimum variance",2020-07-02,251507.692667268
"110","The minimum variance",2020-07-06,256719.610283335
"111","The minimum variance",2020-07-07,256327.04617535
"112","The minimum variance",2020-07-08,257455.386610408
"113","The minimum variance",2020-07-09,256436.162930512
"114","The minimum variance",2020-07-10,260404.456338937
"115","The minimum variance",2020-07-13,259042.901780245
"116","The minimum variance",2020-07-14,261609.356608426
"117","The minimum variance",2020-07-15,262062.081539078
"118","The minimum variance",2020-07-16,261179.634974144
"119","The minimum variance",2020-07-17,263092.20014966
"120","The minimum variance",2020-07-20,268046.38634266
"121","The minimum variance",2020-07-21,263368.16212892
"122","The minimum variance",2020-07-22,263725.802515039
"123","The minimum variance",2020-07-23,256648.851355176
"124","The minimum variance",2020-07-24,252418.902591177
"125","The minimum variance",2020-07-27,257732.308333547
"126","The minimum variance",2020-07-28,253610.767546369
"127","The minimum variance",2020-07-29,255007.003830413
"128","The minimum variance",2020-07-30,255949.191401334
"129","The minimum variance",2020-07-31,261196.863419629
"130","The minimum variance",2020-08-03,268066.215770481
"131","The minimum variance",2020-08-04,267567.909723077
"132","The minimum variance",2020-08-05,265644.860171147
"133","The minimum variance",2020-08-06,269764.099894402
"134","The minimum variance",2020-08-07,269803.585798818
"135","The minimum variance",2020-08-10,269719.602686069
"136","The minimum variance",2020-08-11,263815.002021966
"137","The minimum variance",2020-08-12,270792.417322587
"138","The minimum variance",2020-08-13,271981.690856123
"139","The minimum variance",2020-08-14,273293.276523388
"140","The minimum variance",2020-08-17,276632.587128264
"141","The minimum variance",2020-08-18,278734.596729322
"142","The minimum variance",2020-08-19,273622.976490491
"143","The minimum variance",2020-08-20,277864.359761489
"144","The minimum variance",2020-08-21,285565.328177234
"145","The minimum variance",2020-08-24,286289.138965279
"146","The minimum variance",2020-08-25,284997.550143459
"147","The minimum variance",2020-08-26,287510.52248419
"148","The minimum variance",2020-08-27,286993.74917473
"149","The minimum variance",2020-08-28,286668.120716434
"150","The minimum variance",2020-08-31,295636.313653222
"151","The minimum variance",2020-09-01,299480.581225054
"152","The minimum variance",2020-09-02,297035.61471868
"153","The minimum variance",2020-09-03,281359.840125222
"154","The minimum variance",2020-09-04,281643.554262425
"155","The minimum variance",2020-09-08,265035.767759505
"156","The minimum variance",2020-09-09,272606.18755342
"157","The minimum variance",2020-09-10,267594.305025378
"158","The minimum variance",2020-09-11,269840.930329799
"159","The minimum variance",2020-09-14,277323.820298728
"160","The minimum variance",2020-09-15,279812.127030776
"161","The minimum variance",2020-09-16,276003.458512403
"162","The minimum variance",2020-09-17,272644.372562074
"163","The minimum variance",2020-09-18,269550.833623666
"164","The minimum variance",2020-09-21,271814.728966383
"165","The minimum variance",2020-09-22,272344.7955087
"166","The minimum variance",2020-09-23,264055.364278686
"167","The minimum variance",2020-09-24,264635.834740335
"168","The minimum variance",2020-09-25,270980.439781728
"169","The minimum variance",2020-09-28,275390.318710304
"170","The minimum variance",2020-09-29,273253.192778188
"171","The minimum variance",2020-09-30,277375.538639625
"172","The minimum variance",2020-10-01,281291.847177034
"173","The minimum variance",2020-10-02,274018.391023162
"174","The minimum variance",2020-10-05,281243.797056241
"175","The minimum variance",2020-10-06,273881.704005763
"176","The minimum variance",2020-10-07,277121.951440705
"177","The minimum variance",2020-10-08,277611.622721309
"178","The minimum variance",2020-10-09,280834.869235396
"179","The minimum variance",2020-10-12,289270.530006752
"180","The minimum variance",2020-10-13,285968.899845415
"181","The minimum variance",2020-10-14,286536.960606497
"182","The minimum variance",2020-10-15,283357.285438711
"183","The minimum variance",2020-10-16,278238.154188344
"184","The minimum variance",2020-10-19,272520.810971587
"185","The minimum variance",2020-10-20,273801.396283104
"186","The minimum variance",2020-10-21,272600.32709106
"187","The minimum variance",2020-10-22,271720.972848292
"188","The minimum variance",2020-10-23,270804.834544713
"189","The minimum variance",2020-10-26,268172.633093021
"190","The minimum variance",2020-10-27,270275.753980958
"191","The minimum variance",2020-10-28,260702.264732822
"192","The minimum variance",2020-10-29,265746.436074921
"193","The minimum variance",2020-10-30,256172.479500779
"194","The minimum variance",2020-11-02,257394.830001466
"195","The minimum variance",2020-11-03,261518.51254316
"196","The minimum variance",2020-11-04,270361.837450672
"197","The minimum variance",2020-11-05,276146.838476992
"198","The minimum variance",2020-11-06,279118.707049637
"199","The minimum variance",2020-11-09,271682.703273677
"200","The minimum variance",2020-11-10,272385.891846269
"201","The minimum variance",2020-11-11,278267.743086444
"202","The minimum variance",2020-11-12,277106.753033613
"203","The minimum variance",2020-11-13,277802.207918226
"204","The minimum variance",2020-11-16,279883.81599483
"205","The minimum variance",2020-11-17,279742.948039938
"206","The minimum variance",2020-11-18,279310.126697453
"207","The minimum variance",2020-11-19,282233.964709206
"208","The minimum variance",2020-11-20,280209.554734441
"209","The minimum variance",2020-11-23,278418.627817303
"210","The minimum variance",2020-11-24,279663.818801415
"211","The minimum variance",2020-11-25,280383.999769177
"212","The minimum variance",2020-11-27,282723.44087206
"213","The minimum variance",2020-11-30,285524.523657086
"214","The minimum variance",2020-12-01,291131.573980837
